City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,kodiak,57.79,-152.4072,279.88,76,75,3.09,US,1715549683
123,pisco,-13.7,-76.2167,294.18,78,57,5.14,PE,1715549663
124,palikir - national government center,6.9248,158.1611,301.62,79,75,3.6,FM,1715549683
125,goroka,-6.0834,145.3873,290.94,97,100,1.59,PG,1715549683
126,nema,57.5067,50.5011,271.18,96,10,2.49,RU,1715549684
127,ortega,3.9361,-75.2217,302.71,74,67,0.78,CO,1715549684
128,alice springs,-23.7,133.8833,276.9,87,46,2.06,AU,1715549427
129,burang,30.25,81.1667,272.39,86,54,2.05,CN,1715549684
130,el fasher,13.6279,25.3494,303.53,10,77,4.89,SD,1715549684
131,novaya igirma,57.1334,103.9112,276.86,67,100,1.14,RU,1715549685
132,hollola,61.05,25.4333,280.12,84,100,1.5,FI,1715549685
133,vila franca do campo,37.7167,-25.4333,291.42,99,3,2.05,PT,1715549685
134,grand-bourg,15.8835,-61.3148,303.26,78,22,6.34,GP,1715549686
135,birni n konni,13.7956,5.2553,308.82,33,54,0.69,NE,1715549686
136,buckeye,33.3703,-112.5838,309.12,12,0,2.57,US,1715549427
137,punta arenas,-53.15,-70.9167,277.21,56,0,7.2,CL,1715549686
138,baoqing,46.3317,132.2111,282.49,73,6,2.4,CN,1715549687
139,khandyga,62.6667,135.6,277.03,63,43,1.96,RU,1715549687
140,kingston,17.997,-76.7936,303.8,74,40,7.2,JM,1715549687
141,samus',56.7475,84.6992,282.04,60,15,2.42,RU,1715549687
142,port douglas,-16.4833,145.4667,296.68,81,18,3.81,AU,1715549607
143,uturoa,-16.7333,-151.4333,300.72,79,18,7.13,PF,1715549688
144,north bend,43.4065,-124.2243,296.62,77,75,10.29,US,1715549688
145,bournemouth,50.7205,-1.8795,287.12,90,75,4.12,GB,1715549688
146,aasiaat,68.7098,-52.8699,273.84,98,100,10.53,GL,1715549688
147,margaret river,-33.95,115.0667,289.65,81,100,2.51,AU,1715549689
148,rovinj,45.08,13.64,288.05,70,100,2.69,HR,1715549689
149,yeed,4.55,43.0333,301.19,62,80,4.8,SO,1715549689
150,copiapo,-27.3667,-70.3333,286.98,37,79,2.0,CL,1715549689
151,villa gesell,-37.2639,-56.973,283.74,66,100,7.48,AR,1715549690
152,san julian,21.0167,-102.1667,305.98,13,4,7.2,MX,1715549690
153,pekalongan,-6.8886,109.6753,299.03,84,100,1.4,ID,1715549690
154,forest city,28.6668,-81.4433,303.77,56,70,3.86,US,1715549628
155,kalach-na-donu,48.691,43.5264,278.16,74,42,3.13,RU,1715549690
156,revda,56.801,59.9303,271.66,93,100,1.32,RU,1715549691
157,nadi,-17.8,177.4167,299.15,57,40,2.57,FJ,1715549691
